ds,yhat,yhat_lower,yhat_upper,segment_type,segment_name
2022-01-26,4853.367446480714,3017.22294582068,6703.116039309835,brand,Flame & Feather
2022-01-27,4830.357895349089,3146.7218462633514,6652.597151061567,brand,Flame & Feather
2022-01-28,5494.2395276360385,3677.4239312686564,7421.681145302656,brand,Flame & Feather
2022-01-29,7195.68826740328,5435.637983089542,8946.337764118614,brand,Flame & Feather
2022-01-30,9490.975909251152,7686.7572243331115,11269.175684898708,brand,Flame & Feather
2022-01-31,5141.59244617067,3337.5861554860653,6946.780257537922,brand,Flame & Feather
2022-02-01,5204.296144669256,3391.340048022306,6949.066205749599,brand,Flame & Feather
2022-02-02,5256.956875784936,3441.862923752374,6936.961565854798,brand,Flame & Feather
2022-02-03,5223.553831270612,3439.9123437480216,7097.949072963996,brand,Flame & Feather
2022-02-04,5867.799827858987,4108.757303814036,7665.295982778997,brand,Flame & Feather
2022-02-05,7541.955227410586,5793.752704691898,9336.458259228397,brand,Flame & Feather
2022-02-06,9804.031537603727,7872.664314420786,11450.454430745947,brand,Flame & Feather
2022-02-07,5417.356667907319,3669.517182884861,7276.673844112373,brand,Flame & Feather
2022-02-08,5440.566048936898,3644.7605129297526,7272.206389164327,brand,Flame & Feather
2022-02-09,5453.3868430593,3667.516638007678,7220.581360241802,brand,Flame & Feather
2022-02-10,5381.578085622706,3555.3290923321424,7238.152214551314,brand,Flame & Feather
2022-02-11,5990.50061156126,4166.159270668616,7866.496321983785,brand,Flame & Feather
2022-02-12,7633.8813429959055,5884.301041773935,9414.976981734382,brand,Flame & Feather
2022-02-13,9870.97340158765,7963.071463904518,11744.2818526957,brand,Flame & Feather
2022-02-14,5466.085233174294,3484.9935736071316,7290.172104068219,brand,Flame & Feather
2022-02-15,5478.543944346255,3706.799139859401,7282.297063134594,brand,Flame & Feather
2022-02-16,5488.460823249143,3553.739086146729,7310.198033257527,brand,Flame & Feather
2022-02-17,5421.662360448045,3526.761998229373,7316.18455213171,brand,Flame & Feather
2022-02-18,6043.260821851445,4217.233508499066,7845.155252304848,brand,Flame & Feather
2022-02-19,7706.42886202215,5906.305833651726,9479.697868182144,brand,Flame & Feather
2022-02-20,9969.579275488071,8286.698575739198,11673.615925166145,brand,Flame & Feather
2022-02-21,5595.922438836023,3737.969646475565,7418.323682106416,brand,Flame & Feather
2022-02-22,5643.465760677176,3760.990934693979,7404.001208505416,brand,Flame & Feather
2022-02-23,5690.822007569646,3789.1912082014373,7496.2201451781775,brand,Flame & Feather
2022-02-24,5662.188528787243,3808.0665423672176,7435.120308028188,brand,Flame & Feather
2022-02-25,6320.969988119159,4519.912350840239,8284.746293386464,brand,Flame & Feather
2022-02-26,8018.607539159445,6158.2365692592775,9833.131616149663,brand,Flame & Feather
